edge_id,source,target,direction,kind,verdict,confidence,reviewer,reviewed_at,reason_len,reason
ae-MIS-MEM-032->ATOM-MEM-PERF-003::prop-3,MIS-MEM-032,ATOM-MEM-PERF-003::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:04,56,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权
ae-MIS-CONC-001->ATOM-UB-GRAY-001::prop-1,MIS-CONC-001,ATOM-UB-GRAY-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:52,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-CONC-001->ATOM-UB-GRAY-001::prop-2,MIS-CONC-001,ATOM-UB-GRAY-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:52,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-CONC-003->ATOM-CONC-RACE-001::prop-1,MIS-CONC-003,ATOM-CONC-RACE-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:53,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-CONC-003->ATOM-CONC-RACE-001::prop-2,MIS-CONC-003,ATOM-CONC-RACE-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:53,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-CONC-003->ATOM-CONC-RACE-001::prop-3,MIS-CONC-003,ATOM-CONC-RACE-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:54,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-001->ATOM-HIST-AUTOPTR-001::prop-1,MIS-HIST-001,ATOM-HIST-AUTOPTR-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:55,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-001->ATOM-HIST-AUTOPTR-001::prop-2,MIS-HIST-001,ATOM-HIST-AUTOPTR-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:55,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-001->ATOM-HIST-AUTOPTR-001::prop-3,MIS-HIST-001,ATOM-HIST-AUTOPTR-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:56,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-001->ATOM-HIST-AUTOPTR-001::prop-4,MIS-HIST-001,ATOM-HIST-AUTOPTR-001::prop-4,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:56,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-002->ATOM-HIST-AUTOPTR-001::prop-1,MIS-HIST-002,ATOM-HIST-AUTOPTR-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:57,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-002->ATOM-HIST-AUTOPTR-001::prop-2,MIS-HIST-002,ATOM-HIST-AUTOPTR-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:58,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-002->ATOM-HIST-AUTOPTR-001::prop-3,MIS-HIST-002,ATOM-HIST-AUTOPTR-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:58,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-002->ATOM-HIST-AUTOPTR-001::prop-4,MIS-HIST-002,ATOM-HIST-AUTOPTR-001::prop-4,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:59,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-003->ATOM-HIST-AUTOPTR-001::prop-1,MIS-HIST-003,ATOM-HIST-AUTOPTR-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:16:59,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-003->ATOM-HIST-AUTOPTR-001::prop-2,MIS-HIST-003,ATOM-HIST-AUTOPTR-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:00,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-003->ATOM-HIST-AUTOPTR-001::prop-3,MIS-HIST-003,ATOM-HIST-AUTOPTR-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:00,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-HIST-003->ATOM-HIST-AUTOPTR-001::prop-4,MIS-HIST-003,ATOM-HIST-AUTOPTR-001::prop-4,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:01,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-002->ATOM-MEM-MOVE-002::prop-1,MIS-MEM-002,ATOM-MEM-MOVE-002::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:02,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-002->ATOM-MEM-MOVE-002::prop-2,MIS-MEM-002,ATOM-MEM-MOVE-002::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:02,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-002->ATOM-MEM-MOVE-002::prop-3,MIS-MEM-002,ATOM-MEM-MOVE-002::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:03,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-004->ATOM-MEM-MOVE-002::prop-1,MIS-MEM-004,ATOM-MEM-MOVE-002::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:03,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-004->ATOM-MEM-MOVE-002::prop-2,MIS-MEM-004,ATOM-MEM-MOVE-002::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:04,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-004->ATOM-MEM-MOVE-002::prop-3,MIS-MEM-004,ATOM-MEM-MOVE-002::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:04,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-MOVE-002::prop-1,MIS-MEM-005,ATOM-MEM-MOVE-002::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:05,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-MOVE-002::prop-2,MIS-MEM-005,ATOM-MEM-MOVE-002::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:06,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-MOVE-002::prop-3,MIS-MEM-005,ATOM-MEM-MOVE-002::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:06,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-RVREF-001::prop-1,MIS-MEM-005,ATOM-MEM-RVREF-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:07,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-RVREF-001::prop-2,MIS-MEM-005,ATOM-MEM-RVREF-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:07,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-005->ATOM-MEM-RVREF-001::prop-3,MIS-MEM-005,ATOM-MEM-RVREF-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:08,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-011->ATOM-HIST-AUTOPTR-001::prop-1,MIS-MEM-011,ATOM-HIST-AUTOPTR-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:08,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-011->ATOM-HIST-AUTOPTR-001::prop-2,MIS-MEM-011,ATOM-HIST-AUTOPTR-001::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:09,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-011->ATOM-HIST-AUTOPTR-001::prop-3,MIS-MEM-011,ATOM-HIST-AUTOPTR-001::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:10,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-011->ATOM-HIST-AUTOPTR-001::prop-4,MIS-MEM-011,ATOM-HIST-AUTOPTR-001::prop-4,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:10,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-012->ATOM-MEM-MOVE-002::prop-1,MIS-MEM-012,ATOM-MEM-MOVE-002::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:11,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-012->ATOM-MEM-MOVE-002::prop-2,MIS-MEM-012,ATOM-MEM-MOVE-002::prop-2,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:11,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-012->ATOM-MEM-MOVE-002::prop-3,MIS-MEM-012,ATOM-MEM-MOVE-002::prop-3,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:12,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
ae-MIS-MEM-013->ATOM-MEM-RAII-001::prop-1,MIS-MEM-013,ATOM-MEM-RAII-001::prop-1,mis_to_prop,related_atom,approve,,LiaoRanran,2026-09-19T23:17:12,60,用户授权批量通过：AI预标注approve，抽样验证准确率100%(20/20)，用户确认通过率90%以上即授权批量通过
